lat,long,exx,eyy,exy,var_exx,var_eyy,var_exy,cc_xx_yy,cc_xx_xy,cc_yy_xy
-60.75,153.3,-6.69E+01,3.09E+02,1.25E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,153.9,-3.66E+01,1.43E+02,9.62E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,154.5,4.29E+01,2.99E+01,4.11E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,159.9,-8.30E+01,-9.60E+01,-1.06E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,160.5,1.35E+01,-2.62E+02,-2.45E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,161.1,-1.35E+02,-2.83E+01,-7.79E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-153.3,8.57E+02,3.29E+02,-5.33E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-152.7,8.66E+02,3.28E+02,-5.32E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-57.3,-5.02E+01,1.20E+01,-4.48E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-56.7,-8.19E+01,2.85E+01,-8.76E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-56.1,-1.06E+00,9.52E+00,-2.16E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-55.5,-8.61E+00,2.19E+01,-3.22E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-54.9,-1.59E+01,3.05E+01,-1.50E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-54.3,-1.25E+00,2.39E+01,-1.54E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-53.7,5.85E+00,2.19E+01,-2.09E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-53.1,1.27E+01,2.58E+01,-2.72E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-52.5,2.25E+01,3.20E+01,-3.90E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-60.75,-51.9,4.35E+01,4.49E+01,-6.29E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
